Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_list_item_f(Table),crw_as_lan_list_item_f,Table,Table,,30/09/2019 3:19:18 PM,ird0sxw,30/09/2019 3:19:18 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_profile_type_d(Table),crw_as_lan_profile_type_d,Table,Table,,3/10/2019 3:21:10 PM,ird0sxw,3/10/2019 3:21:10 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lan_profile_type_f(Table),crw_as_lan_profile_type_f,Table,Table,,3/10/2019 3:21:10 PM,ird0sxw,3/10/2019 3:21:10 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lannz_employer_group_d(Table),crw_as_lannz_employer_group_d,Table,Table,,1/10/2019 8:27:54 AM,ird0sxw,1/10/2019 8:27:54 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lannz_employer_group_f(Table),crw_as_lannz_employer_group_f,Table,Table,,1/10/2019 8:27:54 AM,ird0sxw,1/10/2019 8:27:54 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lannz_employer_type_d(Table),crw_as_lannz_employer_type_d,Table,Table,,1/10/2019 8:36:59 AM,ird0sxw,1/10/2019 8:36:59 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lannz_employer_type_f(Table),crw_as_lannz_employer_type_f,Table,Table,,1/10/2019 8:36:59 AM,ird0sxw,1/10/2019 8:36:59 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lannz_inctax_exmpt_rsn_d(Table),crw_as_lannz_inctax_exmpt_rsn_d,Table,Table,,4/10/2019 8:21:23 AM,ird0sxw,4/10/2019 8:21:23 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_lannz_inctax_exmpt_rsn_f(Table),crw_as_lannz_inctax_exmpt_rsn_f,Table,Table,,4/10/2019 8:21:23 AM,ird0sxw,4/10/2019 8:21:23 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblaccount_d(Table),crw_as_tblaccount_d,Table,Table,,26/09/2019 11:05:45 AM,ird0sxw,27/09/2019 7:58:11 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblaccount_f(Table),crw_as_tblaccount_f,Table,Table,,26/09/2019 11:05:45 AM,ird0sxw,1/10/2019 9:26:16 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblaccount_rel_d(Table),crw_as_tblaccount_rel_d,Table,Table,,15/04/2020 10:11:06 AM,ird0sxw,15/04/2020 10:11:06 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblaccount_rel_f(Table),crw_as_tblaccount_rel_f,Table,Table,,15/04/2020 10:11:06 AM,ird0sxw,15/04/2020 10:11:06 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblid_d(Table),crw_as_tblid_d,Table,Table,,27/09/2019 8:46:56 AM,ird0sxw,11/12/2019 4:39:17 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblid_f(Table),crw_as_tblid_f,Table,Table,,27/09/2019 8:46:56 AM,ird0sxw,18/02/2020 2:09:24 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_audact_d(Table),crw_as_tblindicator_audact_d,Table,Table,,27/09/2019 2:41:57 PM,ird0sxw,18/10/2019 9:32:26 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_audact_f(Table),crw_as_tblindicator_audact_f,Table,Table,,27/09/2019 2:41:57 PM,ird0sxw,2/04/2020 7:20:12 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_audact_r(Table),crw_as_tblindicator_audact_r,Table,Table,,2/04/2020 8:02:40 AM,ird0sxw,2/04/2020 8:02:40 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_d(Table),crw_as_tblindicator_d,Table,Table,,27/09/2019 11:42:30 AM,ird0sxw,11/12/2019 4:39:19 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_dontmail_d(Table),crw_as_tblindicator_dontmail_d,Table,Table,,27/09/2019 2:37:05 PM,ird0sxw,18/10/2019 9:58:39 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_dontmail_f(Table),crw_as_tblindicator_dontmail_f,Table,Table,,27/09/2019 2:37:05 PM,ird0sxw,2/04/2020 6:37:06 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_dontmail_r(Table),crw_as_tblindicator_dontmail_r,Table,Table,,2/04/2020 6:50:25 AM,ird0sxw,2/04/2020 6:50:25 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_exmpt_d(Table),crw_as_tblindicator_exmpt_d,Table,Table,,27/09/2019 1:24:35 PM,ird0sxw,18/10/2019 11:12:18 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_exmpt_f(Table),crw_as_tblindicator_exmpt_f,Table,Table,,27/09/2019 1:24:35 PM,ird0sxw,2/04/2020 6:59:06 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_exmpt_r(Table),crw_as_tblindicator_exmpt_r,Table,Table,,2/04/2020 7:13:20 AM,ird0sxw,2/04/2020 7:13:20 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_f(Table),crw_as_tblindicator_f,Table,Table,,27/09/2019 11:42:30 AM,ird0sxw,11/12/2019 4:39:20 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_misc_d(Table),crw_as_tblindicator_misc_d,Table,Table,,18/10/2019 11:25:58 AM,ird0sxw,18/10/2019 11:25:58 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_as_tblindicator_misc_f(Table),crw_as_tblindicator_misc_f,Table,Table,,18/10/2019 11:25:58 AM,ird0sxw,2/04/2020 8:08:18 AM,ird0sxw
